Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006413~translational initiation	93	16.34446397188049	2.9617361063101312E-108	EIF4A2, RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, EIF2A, RPS9, RPL21, RPS7, EIF1AX, RPS8, RPL23, RPS5, RPL22, RPS6, RPL13A, RPS3A, RPSA, RPL37A, RPL24, RPL27, RPL26, PABPC1, RPL29, RPL28, UBA52, RPL10, RPL12, RPL11, RPL36A, RPS4Y1, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, EIF4B, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, EIF3M, EIF2S3, RPS27, EIF3K, EIF3L, RPS29, RPL27A, EIF3H, EIF3E, RPS20, FAU, EIF3F, RPS21, EIF3D, RPS24, RPS23	508	137	16792	22.438875797459627	6.711294016898758E-105	6.711294016898758E-105	6.6431740864536244E-105
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	80	14.059753954305801	1.0103953652413212E-106	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPL13A, RPS3A, RPSA, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, RPL10, RPL12, RPL11, RPL36A, RPS4Y1, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, FAU, RPS21, RPS24, RPS23	508	94	16792	28.132015412966997	2.2895558976368337E-103	1.1447779488184169E-103	1.1331584021181418E-103
GOTERM_BP_DIRECT	GO:0019083~viral transcription	81	14.235500878734623	1.8803265033289284E-97	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPL13A, RPS3A, RPSA, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, NUP58, RPL10, RPL12, RPL11, RPL36A, RPS4Y1, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, FAU, RPS21, RPS24, RPS23	508	112	16792	23.905933633295838	4.2608198565433515E-94	1.4202732855144506E-94	1.4058574489889288E-94
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	82	14.411247803163443	7.226969635667195E-96	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPL13A, RPS3A, RPSA, RPL37A, RPL24, RPL27, RPL26, PABPC1, RPL29, RPL28, UBA52, RPL10, RPL12, RPL11, RPL36A, RPS4Y1, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, EIF3E, RPS20, FAU, RPS21, RPS24, RPS23	508	119	16792	22.777476344868653	1.6376313194421864E-92	4.094078298605466E-93	4.052523223200379E-93
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	88	15.465729349736378	3.680967393623785E-76	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, WDR43, RPL7, RPS4X, RPS15, FBL, RPS14, RPL7A, RPS17, RPS16, NOB1, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPL13A, RPS3A, RPSA, UTP18, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, RPL10, RPL12, RPL11, RPL36A, RPS4Y1, EXOSC5, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, NOP58, RPL41, MTERF4, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, FAU, NOL11, RPS21, RPS24, RPS23	508	214	16792	13.592758849069101	8.341072113951496E-73	1.6682144227902993E-73	1.65128197277963E-73
GOTERM_BP_DIRECT	GO:0006412~translation	92	16.16871704745167	5.6202678483998715E-74	RPL4, RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, MRPL3, RPL7A, RPS17, RPS16, RPS19, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, SLC25A45, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, PABPC4, RPL22, RPS6, MRPS21, RPL13A, RPS3A, RPSA, RPL37A, NHP2, RPL24, RPL27, RPL26, RPL29, RPL28, UBA52, SLC25A6, RPL10, MRPS33, RPL12, RPL11, RPL36A, RPS4Y1, RPS15A, RPS3, RPL14, RPL13, RPS2, RPL15, RPS27A, RPL18, RPL17, RPL19, DARS, RPL41, RPL35A, RPL23A, RPS26, RSL1D1, RPS25, RPS28, RPS27, NACA, RPS29, RPL27A, RPS20, FAU, RPS21, RSL24D1, SLC25A36, RPS24, RPS23	508	253	16792	12.020042949176808	1.2735526944474109E-70	2.1225878240790182E-71	2.101043463993485E-71
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	16	2.8119507908611596	3.130179823171765E-17	RPL31, RPLP1, RPL22, RPLP0, RPL36A, RPL35A, RPL8, RPL9, RPL6, RPL7, RPL36, RPLP2, RPL26, RPL15, RPL29, EIF4B	508	25	16792	21.15527559055118	7.09298747930722E-14	1.0132839256153172E-14	1.0029990490534672E-14
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	31	5.448154657293498	8.689056773963226E-10	HSP90AB1, RPL34, OLA1, CAPG, ZC3HAV1, BZW2, RPL6, CNN2, DNAJB1, RPL7A, ATIC, RPL14, RACK1, SNX9, CCT8, RPS2, RPL15, TBC1D10A, EIF2A, HSPA8, RPL23A, EEF2, PRDX6, RPS26, RSL1D1, EIF2S3, EEF1D, SERBP1, RPL24, EIF3E, RPL29	508	271	16792	3.7812127727576486	1.9689384356258444E-6	2.4611753312250837E-7	2.43619429299994E-7
GOTERM_BP_DIRECT	GO:0001731~formation of translation preinitiation complex	10	1.7574692442882252	1.0890786380683095E-8	EIF3M, EIF2S3, EIF3K, EIF3L, EIF3H, EIF2D, EIF3E, EIF3F, EIF3D, EIF4B	508	23	16792	14.3717904827114	2.4678217567908334E-5	2.742057993180877E-6	2.7142259835413537E-6
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	9	1.5817223198594026	3.685732442744038E-8	RPS15, RPS14, RPS17, RPS28, RPS27, RPS19, RPS5, RPSA, RPS10	508	19	16792	15.657687525901368	8.3515211073526E-5	8.351869715257991E-6	8.267097869074878E-6
GOTERM_BP_DIRECT	GO:0000027~ribosomal large subunit assembly	9	1.5817223198594026	9.407301093984985E-8	RPL5, RPL3, RPL10, RPL12, RPL11, RPL24, RPL23A, RSL24D1, RPL6	508	21	16792	14.166479190101237	2.131467338157833E-4	1.937904025360907E-5	1.9182342139825745E-5
